timestamp,BTC close(USD),BTC mktcap(USD),ETH close(USD),ETH mktcap(USD),BNB close(USD),BNB mktcap(USD),XRP close(USD),XRP mktcap(USD),ADA close(USD),ADA mktcap(USD),LTC close(USD),LTC mktcap(USD),XLM close(USD),XLM mktcap(USD),EOS close(USD),EOS mktcap(USD),QTUM close(USD),QTUM mktcap(USD),TRX close(USD),TRX mktcap(USD)
2019-11-05,9308.66,45935.873665,188.68,389668.6472,20.6588,1435739.44,0.30061,107569775.1,0.04411,180562882.5,63.12,527595.77833,0.08221,409265259.4,3.618,11862081.71,2.258,4433801.775,0.01975,662033588.8
2019-11-04,9393.35,45894.456277,185.71,321175.29134,20.6139,1642901.21,0.29863,85410877.0,0.0432,104623837.3,61.29,410380.76551,0.07929,122972676.3,3.438,9847237.14,2.271,1643892.193,0.0198,913791526.6
2019-11-03,9194.71,27894.378279,181.54,232621.52147,20.1874,1331174.6,0.29024,69064994.6,0.04168,62160900.1,58.29,141302.66308,0.06863,115898878.0,3.2702,3601852.87,2.132,391792.126,0.01964,418451816.1
2019-11-02,9289.52,28923.060828,182.91,179864.39739,20.1745,1605037.27,0.29456,72552309.1,0.04237,75699178.5,58.25,150647.4393,0.07123,125928076.2,3.3221,4116286.28,2.183,601469.293,0.01988,538788164.9
2019-11-01,9231.61,43594.814115,182.85,331519.76963,19.9999,1305053.67,0.29146,85376671.8,0.04211,110430810.3,58.23,221222.3294,0.069,287327789.4,3.3419,6616219.42,2.156,491801.761,0.01962,619659331.2
2019-10-31,9140.85,54376.024902,182.18,410969.86104,19.9099,1679420.04,0.29452,100846140.4,0.04126,147006673.3,58.29,269103.33623,0.06512,118903683.2,3.2531,7081695.84,2.144,1178388.065,0.01974,1232635628.1
2019-10-30,9154.72,55241.786434,183.13,537770.43056,20.052,1822916.43,0.29471,117887579.1,0.04171,175888541.2,57.89,341531.28519,0.06388,104406655.1,3.2672,8279459.56,2.192,849275.051,0.01995,2153270911.5
2019-10-29,9407.62,64158.462446,190.46,529964.5054,20.7452,2298554.91,0.30192,145791308.2,0.04341,147292816.7,59.75,401424.23907,0.06662,99602283.5,3.4022,9541450.73,2.299,812225.407,0.02194,2428311336.4
2019-10-28,9205.14,80174.217323,181.72,582179.44545,19.939,2713065.62,0.29447,134306597.1,0.04217,249944662.3,57.7,540004.69723,0.0645,121373979.2,3.2822,15629480.04,2.306,2255748.517,0.01998,3511370419.9
2019-10-27,9529.93,93833.541604,183.75,724423.40525,19.2888,2293853.06,0.29818,180544647.9,0.04216,356883958.9,59.78,661079.75268,0.06514,103629832.8,3.3281,18393829.15,2.311,2976535.833,0.0191,2591727152.9
2019-10-26,9230.0,162588.585413,179.49,1211737.43684,18.9501,3135045.71,0.29351,270708034.1,0.0405,384769986.7,56.71,1041416.04901,0.06264,130527665.9,3.1339,26618243.21,1.837,1101014.381,0.01659,1698836799.9
2019-10-25,8655.02,90748.218174,181.5,904832.86059,18.6188,2887081.78,0.29829,199230614.5,0.04115,259632456.1,56.93,761473.61477,0.06429,98514966.9,3.1771,20518259.45,1.774,663070.021,0.01764,1478772669.6
2019-10-24,7412.41,32714.383265,160.38,387310.83766,16.9194,1244966.99,0.27596,99386341.1,0.0373,129205701.0,49.54,308330.52196,0.06015,59597296.8,2.7217,6387068.19,1.585,343484.476,0.01516,578018591.9
2019-10-23,7466.62,63897.457098,162.35,746955.09806,16.6796,1846223.72,0.27306,187716543.6,0.03635,160888322.8,49.5,509593.26474,0.05984,81205772.2,2.7158,12615241.25,1.556,546339.661,0.01435,546138570.1
2019-10-22,8020.0,34651.828663,171.2,255429.41624,18.2286,1820100.14,0.29046,102870808.0,0.03859,99050634.5,53.39,159956.49835,0.06321,41032516.8,2.892,6721532.73,1.67,164853.066,0.01512,295908785.5
2019-10-21,8197.27,30448.679539,173.98,270608.51385,18.2551,1497277.47,0.29187,71906227.9,0.03904,86919604.0,54.57,208464.19325,0.06387,30188144.2,2.9185,4164497.05,1.702,224311.731,0.0155,435447766.9
2019-10-20,8223.35,34286.452654,175.22,299141.07152,18.4997,1696662.02,0.29386,111491956.5,0.03946,80563672.4,54.85,208172.70191,0.0632,31117304.0,2.9225,4299828.88,1.719,188713.937,0.0155,521334542.8
2019-10-19,7948.01,26627.889388,171.79,296918.73026,18.2229,1457873.52,0.29145,103575426.6,0.03897,108229315.3,53.72,152610.00837,0.06247,28689772.9,2.8678,4462418.53,1.683,190419.931,0.01548,807207172.5
2019-10-18,7947.01,31353.181416,172.74,319602.48508,18.2188,1428262.33,0.29404,133405177.2,0.03795,103580841.4,53.21,213517.39011,0.06299,51424679.9,2.8782,7459593.53,1.695,240860.676,0.01536,859678851.1
2019-10-17,8070.58,29656.949158,177.16,298795.8198,18.5188,1889272.66,0.30167,147918252.3,0.03932,98875143.1,54.94,238776.4036,0.06505,75774952.3,2.9473,3979587.96,1.74,309162.925,0.01536,958420369.3
2019-10-16,7991.74,34733.593966,174.47,347764.93459,17.7401,1818495.34,0.28331,109182836.2,0.03839,123366687.6,52.45,299556.40107,0.06171,53065845.3,2.9241,6030571.37,1.672,373773.939,0.01518,816605583.8
2019-10-15,8159.29,32773.062476,180.49,405466.38109,18.5643,2919838.62,0.28859,147821843.4,0.03957,132935157.1,54.58,332451.2139,0.0639,84100929.1,2.9619,8486873.65,1.741,476882.11,0.01566,977730892.3
2019-10-14,8348.2,29810.663253,186.72,279732.84612,18.4376,1643019.36,0.29727,151725088.0,0.04173,125628693.8,56.83,133434.14038,0.06613,58907477.8,3.1634,5222661.53,1.826,264198.278,0.01667,728141851.4
2019-10-13,8275.01,27840.739953,180.99,247589.23231,18.256,2233894.43,0.27726,70808721.8,0.04127,85411344.2,56.46,157772.38785,0.06136,25568767.4,3.1027,4323540.89,1.791,229774.946,0.01606,750126142.6
2019-10-12,8300.09,21339.334098,179.68,290415.22038,17.17,1405695.82,0.27226,57869923.4,0.0404,83464642.7,55.7,101685.84465,0.06083,35928975.2,3.0655,4917439.38,1.772,213091.377,0.01566,612798610.9
2019-10-11,8258.5,50405.284418,180.72,621693.63125,16.5666,1477611.99,0.26743,71539111.7,0.04006,201630003.1,55.85,266818.0674,0.0597,56269040.9,3.0594,8675517.97,1.782,298487.594,0.01582,1127397039.1
2019-10-10,8558.03,39137.946167,191.14,436588.58452,17.5288,1785750.54,0.27021,80850590.7,0.04161,153063454.4,57.47,215031.29392,0.06146,30181573.8,3.1053,7473057.61,1.802,361807.79,0.01623,944639880.1
2019-10-09,8560.74,55038.704378,192.62,562506.82189,17.7177,2825143.73,0.28082,105865868.2,0.04238,186972520.8,59.12,344098.9067,0.06308,59997104.5,3.2351,8251520.04,1.86,541189.834,0.0169,1083469426.8
2019-10-08,8168.39,35452.657423,180.6,400832.37828,16.0213,992060.4,0.2774,121934629.7,0.0412,162484379.0,56.94,184201.79637,0.06181,51192294.0,3.1577,4984869.86,1.799,381216.505,0.01692,1268688983.2
2019-10-07,8190.09,52202.072297,179.85,496523.48038,16.0255,1138453.45,0.27592,210990372.8,0.04136,255365309.8,57.46,314689.40497,0.06207,99033648.8,3.1759,9853859.27,1.788,437235.206,0.01622,1531385796.4
2019-10-06,7854.25,34676.104049,170.1,314932.39629,15.0688,821939.84,0.25552,63421400.1,0.03881,109962852.2,54.41,259829.37559,0.05839,32050223.3,2.9058,4576544.17,1.694,186091.82,0.0145,1355146386.4
2019-10-05,8126.19,21907.615564,176.25,278488.61771,15.6869,815215.74,0.25325,82519531.3,0.03967,121480670.5,56.69,177602.10058,0.05895,21513393.8,2.9875,4335884.85,1.718,208739.59,0.01508,940710051.7
2019-10-04,8137.13,26476.330404,175.55,333897.63876,15.6133,858010.95,0.25243,90663663.4,0.0393,170576030.2,56.3,247275.45318,0.05863,35940116.6,3.0018,5857503.26,1.692,224819.364,0.01454,1026532226.1
2019-10-03,8223.96,30488.284058,174.69,354756.78478,15.6377,904724.95,0.24674,71409676.9,0.03818,137043893.6,56.44,253310.60723,0.0585,26922811.9,2.927,4676899.69,1.683,222735.045,0.01428,628131980.7
2019-10-02,8359.94,26243.386644,180.24,348268.1162,15.8742,950491.27,0.25247,97406245.2,0.03923,93483018.9,56.23,215424.38457,0.05968,36649690.6,3.0008,4433582.55,1.711,309453.923,0.01438,686074037.0
2019-10-01,8292.44,43472.418091,175.66,609819.60828,15.8563,1179806.15,0.24788,125393526.7,0.03824,109847393.9,55.63,333581.15687,0.0586,64968879.9,2.9357,9222307.12,1.684,520196.96,0.01394,918372658.5
2019-09-30,8289.34,55865.48726,180.85,580295.3997,15.8349,1129249.13,0.2566,156913857.0,0.03888,184102977.1,55.99,369529.68787,0.06182,87351051.1,2.9636,8137510.21,1.709,487332.501,0.01453,1312183096.8
2019-09-29,8043.82,31544.211388,169.24,410855.12176,15.1999,965380.71,0.24024,43877272.4,0.03715,127505153.8,53.82,227546.40106,0.05791,32139885.6,2.7779,4952077.37,1.629,290256.033,0.01327,637623805.5
2019-09-28,8198.81,34473.605165,173.49,521775.46593,15.7346,1098737.85,0.24163,45238244.9,0.0386,134360706.3,55.37,258783.39518,0.05831,48812326.5,2.8291,5051505.0,1.656,362729.832,0.01357,565963686.9
2019-09-27,8177.91,43882.924625,173.79,634932.96707,15.6666,1435874.03,0.24208,89138447.6,0.03911,149906621.0,55.86,390379.87374,0.05888,96155796.5,2.8297,10140083.14,1.625,363616.49,0.01361,1032408452.2
